Player_Game_ID,Team,Game,Player_ID,#,Name,Pos,Time on ice,ZEX,CEX All,CEX Not Press,CEX Press,DEX,FEX,ZEN,CEN,DEN,FEN,DR,TOT,CEX,EXD,END,CORSI-,CORSI+
6.CAN17,CAN,6,CAN17,17,Avahla Adam,F,10.48,11.45038168,0,0,0,0,11.45038168,11.45038168,11.45038168,0,0,0,28.6259542,0,5.72519084,11.45038168,74.42748092,62.97709924
2.SWE16,SWE,2,SWE16,16,Linnea Adelbertsson,F,11.25,10.66666667,0,0,0,0,10.66666667,10.66666667,0,10.66666667,0,0,21.33333333,0,0,0,85.33333333,16
2.USA18,USA,2,USA18,18,Claire Enright,F,11.25,10.66666667,0,0,0,10.66666667,0,16,5.333333333,5.333333333,5.333333333,10.66666667,48,0,10.66666667,0,42.66666667,58.66666667
1.CAN28,CAN,1,CAN28,28,Piper Grober,D,16.94736842,10.62111801,0,0,0,3.540372671,7.080745342,3.540372671,0,3.540372671,0,0,24.7826087,0,10.62111801,28.32298137,21.24223602,77.88819876
4.FIN5,FIN,4,FIN5,5,Nella Berg,D,17.31,10.39861352,0,0,0,3.466204506,6.932409012,6.932409012,0,3.466204506,3.466204506,0,20.79722704,0,3.466204506,38.12824957,69.32409012,27.72963605
10.USA3,USA,10,USA3,3,Jenessa Gazdik,D,12.04,9.966777409,0,0,0,4.983388704,4.983388704,9.966777409,4.983388704,0,4.983388704,0,34.88372093,0,14.95016611,29.90033223,39.86710963,119.6013289
1.CAN17,CAN,1,CAN17,17,Avahla Adam,F,6.052631579,9.913043478,0,0,0,9.913043478,0,49.56521739,39.65217391,0,9.913043478,0,59.47826087,0,0,0,49.56521739,49.56521739
11.SWE19,SWE,11,SWE19,19,Klara Kenttala,F,12.32432432,9.736842105,0,0,0,4.868421053,4.868421053,14.60526316,9.736842105,4.868421053,0,0,24.34210526,0,0,0,58.42105263,34.07894737
2.USA6,USA,2,USA6,6,Emma Peschel,D,12.43421053,9.650793651,0,0,0,4.825396825,4.825396825,19.3015873,0,9.650793651,9.650793651,4.825396825,62.73015873,0,28.95238095,14.47619048,43.42857143,57.9047619
8.SWE15,SWE,8,SWE15,15,Astrid Lindeberg,D,13.13,9.139375476,0,0,0,0,9.139375476,9.139375476,0,4.569687738,4.569687738,0,27.41812643,0,9.139375476,13.70906321,59.40594059,50.26656512
3.CAN24,CAN,3,CAN24,24,Madison Chantler,F,13.31632653,9.011494253,0,0,0,4.505747126,4.505747126,27.03448276,13.51724138,9.011494253,4.505747126,0,36.04597701,0,0,0,40.55172414,90.11494253
4.USA23,USA,4,USA23,23,Madison Kaiser,F,14.04,8.547008547,0,0,0,0,8.547008547,21.36752137,12.82051282,8.547008547,0,17.09401709,47.00854701,0,0,0,29.91452991,94.01709402
2.SWE11,SWE,2,SWE11,11,Julia Perjus,F,14.21052632,8.444444444,0,0,0,0,8.444444444,16.88888889,4.222222222,12.66666667,0,0,33.77777778,0,8.444444444,0,67.55555556,33.77777778
2.SWE23,SWE,2,SWE23,23,Isabelle Leijonhielm,F,14.21052632,8.444444444,0,0,0,0,8.444444444,25.33333333,12.66666667,8.444444444,4.222222222,0,38,0,4.222222222,0,54.88888889,46.44444444
11.SWE14,SWE,11,SWE14,14,Ella Jamsen,F,7.135135135,8.409090909,0,0,0,0,8.409090909,8.409090909,0,0,8.409090909,0,16.81818182,0,0,0,42.04545455,50.45454545
6.USA7,USA,6,USA7,7,Ava Lindsay,F,7.23,8.298755187,0,0,0,8.298755187,0,0,0,0,0,0,8.298755187,0,0,0,66.39004149,91.28630705
8.SWE11,SWE,8,SWE11,11,Julia Perjus,F,15.22,7.884362681,0,0,0,3.94218134,3.94218134,7.884362681,3.94218134,0,3.94218134,0,23.65308804,0,7.884362681,0,39.4218134,67.01708279
1.CAN26,CAN,1,CAN26,26,Karel Prefontaine,F,15.73684211,7.62541806,0,0,0,0,7.62541806,3.81270903,3.81270903,0,0,3.81270903,15.25083612,0,0,3.81270903,26.68896321,72.44147157
5.FIN27,FIN,5,FIN27,27,Maaria Vihervuori,F,8.1,7.407407407,0,0,0,7.407407407,0,22.22222222,0,14.81481481,7.407407407,0,37.03703704,0,7.407407407,0,14.81481481,22.22222222
4.FIN7,FIN,4,FIN7,7,Sinna Varjonen,D,16.29,7.366482505,0,0,0,0,7.366482505,0,0,0,0,0,11.04972376,0,3.683241252,25.78268877,84.7145488,25.78268877
3.CAN5,CAN,3,CAN5,5,Rhea Hicks,F,9.642857143,6.222222222,0,0,0,0,6.222222222,24.88888889,0,12.44444444,12.44444444,0,37.33333333,0,6.222222222,0,18.66666667,112
9.CAN10,CAN,9,CAN10,10,Jade Iginla,F,10.44,5.747126437,0,0,0,0,5.747126437,28.73563218,22.98850575,0,5.747126437,0,34.48275862,0,0,0,28.73563218,74.71264368
6.CAN19,CAN,6,CAN19,19,Reichen Kirchmair,F,10.47,5.730659026,0,0,0,5.730659026,0,17.19197708,17.19197708,0,0,0,28.65329513,0,5.730659026,0,40.11461318,63.03724928
9.CAN16,CAN,9,CAN16,16,Alex Law,F,11.11,5.400540054,0,0,0,5.400540054,0,37.80378038,16.20162016,10.80108011,10.80108011,5.400540054,54.00540054,0,5.400540054,5.400540054,16.20162016,97.20972097
3.SWE29,SWE,3,SWE29,29,Stella Lindell,F,11.47959184,5.226666667,0,0,0,0,5.226666667,20.90666667,5.226666667,5.226666667,10.45333333,0,36.58666667,0,10.45333333,0,67.94666667,62.72
7.CAN14,CAN,7,CAN14,14,Emmalee Pais,F,12.22,4.909983633,0,0,0,0,4.909983633,44.1898527,34.36988543,0,9.819967267,4.909983633,54.00981997,0,0,0,14.7299509,147.299509
7.CAN27,CAN,7,CAN27,27,Holly Abela,F,12.32,4.87012987,0,0,0,0,4.87012987,19.48051948,19.48051948,0,0,4.87012987,29.22077922,0,0,0,14.61038961,121.7532468
2.USA22,USA,2,USA22,22,Tessa Janecke,F,12.43421053,4.825396825,0,0,0,0,4.825396825,14.47619048,4.825396825,0,9.650793651,4.825396825,28.95238095,0,4.825396825,0,24.12698413,77.20634921
5.SWE19,SWE,5,SWE19,19,Klara Kenttala,F,13.06,4.594180704,0,0,0,4.594180704,0,18.37672282,0,9.188361409,9.188361409,0,27.56508423,0,4.594180704,9.188361409,87.28943338,22.97090352
4.USA24,USA,4,USA24,24,Margaret Scannell,F,13.51,4.4411547,0,0,0,4.4411547,0,8.8823094,4.4411547,0,4.4411547,0,22.2057735,0,8.8823094,0,31.0880829,102.1465581
12.USA22,USA,12,USA22,22,Tessa Janecke,F,14.02439024,4.27826087,0,0,0,0,4.27826087,38.50434783,21.39130435,12.83478261,4.27826087,4.27826087,55.6173913,0,8.556521739,0,29.94782609,77.00869565
7.CAN15,CAN,7,CAN15,15,Ava Murphy,D,15.04,3.989361702,0,0,0,3.989361702,0,11.96808511,7.978723404,0,3.989361702,0,43.88297872,0,27.92553191,19.94680851,19.94680851,155.5851064
